s_0,s_1,s_2,filters_0,filters_1,filters_2,filters_3,filters_4,filters_5,k_0,k_1,k_2,k_3,k_4,k_5,activation,activ_dense,dropout_0,dropout_1,dropout_2,dropout_3,dropout_4,dropout_5,dropout_6,lr,l2,dense_size_0,dense_size_1,max_pooling,stack_0,stack_1,stack_2,perf,time
4,4,2,263,358,354,352,266,289,5,5,3,5,3,4,relu,softmax,0.1958854376524214,0.15028646915217536,0.1788642105967978,0.1107245183397594,0.311327086443246,0.2476349971257585,0.1282729199213577,0.007735431046974125,0.0005887584217965809,1447,1298,True,2,2,2,0.7796000242233276,1138.1466081142426
4,2,4,262,388,366,323,340,250,3,5,6,6,5,6,relu,softmax,0.29493721825378744,0.12523302979290574,0.15439775683129398,0.24273904449838032,0.29606954580433065,0.14376073808616885,0.15556699924928138,0.00700298351789725,0.0014945389878056469,1453,755,True,2,2,2,0.682699978351593,1520.7019374370575
4,4,4,290,305,355,266,323,339,5,6,4,6,3,6,relu,softmax,0.24994667732457673,0.21626990148994965,0.2839216929648145,0.11678966717860212,0.251938335630124,0.3612671710080001,0.16403845484169066,0.00702354896943696,0.0007895866458534245,961,720,True,2,2,2,0.7612000107765198,1528.8593082427979
4,4,4,369,397,332,289,320,281,3,4,5,5,6,4,relu,softmax,0.15150819793854736,0.13076036143379322,0.28377784248276294,0.12826310908374816,0.32628469991056486,0.10615327579611736,0.17481273639876765,0.005156641561534791,0.0028771025855727785,1119,1268,True,2,2,2,0.44369998574256897,1552.4329137802124
2,2,4,280,329,295,368,341,288,5,6,5,3,3,6,relu,softmax,0.16133391011969891,0.17161024140969355,0.16796615455788738,0.21854473254929105,0.29613689525101694,0.23140953494034092,0.3327921726249665,0.004624088345209213,0.0026547748707609485,557,740,True,2,2,2,0.7615000009536743,1628.3956427574158
3,2,2,387,359,341,360,281,374,3,5,4,3,3,4,relu,softmax,0.364684328513615,0.10591591966129377,0.32734360956763486,0.2085072433900759,0.321465040040896,0.22052356162749356,0.12127237669955253,0.008360552043965134,0.0019445537656790348,1419,976,True,2,2,2,0.4675999879837036,1735.494582414627
2,3,3,315,318,371,267,319,303,5,5,3,4,4,3,relu,softmax,0.2638073779962251,0.26410844392733435,0.11600204890155506,0.21957989881553677,0.18122011972651975,0.3998005368493347,0.19250652118969308,0.006805243676833519,0.002586429892177368,670,1157,True,2,2,2,0.6636000275611877,1853.734563112259
3,2,2,296,367,357,362,380,283,5,3,4,4,4,4,relu,softmax,0.3653489604381591,0.30287012051214324,0.20227492275762715,0.26306031351223713,0.35216076398475815,0.3650104894092736,0.14811816250184356,0.007045874396898291,0.0021486991957169648,854,940,True,2,2,2,0.6607000231742859,1863.2451424598694
3,2,2,251,272,379,322,330,300,3,4,5,4,3,3,relu,softmax,0.22791696843082757,0.38184426631446267,0.22856915134170921,0.20751028969971952,0.2321609944370135,0.25583582995526694,0.2895974032394407,0.006397231143685029,0.0008248872601923026,1176,1440,True,2,2,2,0.7802000045776367,1176.0548107624054
2,3,2,397,369,253,288,382,371,5,3,6,3,5,5,relu,softmax,0.2018719423624509,0.20056695406407152,0.11261343882278341,0.279471327955569,0.35644601589765645,0.21447231634765535,0.32201078349525314,0.008375294820844714,0.0006481211309993188,704,577,True,2,2,2,0.8170999884605408,3004.938146829605
4,2,3,336,311,281,279,321,272,3,3,3,5,4,6,relu,softmax,0.3069907036425175,0.39142055458259395,0.1251042964743092,0.3703672068933368,0.1378308087962228,0.2178876419910047,0.35543160889933434,0.007765938519240871,0.0023639198793383776,1431,874,True,2,2,2,0.5756000280380249,1136.0969331264496
3,4,3,250,282,255,395,275,311,3,5,6,5,6,6,relu,softmax,0.16486986831729739,0.12084399546505958,0.2711158298728681,0.32694330365212376,0.13317375612059784,0.35150134617801565,0.26665269351864496,0.007007810344109501,0.0008694603336957944,1493,1034,True,2,2,2,0.8108000159263611,1302.5813703536987
3,2,4,298,305,395,347,358,375,4,3,5,6,5,6,relu,softmax,0.18557909858245986,0.25611166493229043,0.35570503500515027,0.3122615468844021,0.28656494843647995,0.24880986698242447,0.1896051951442403,0.004742050616913186,0.0012515672663466213,1346,1366,True,2,2,2,0.7767000198364258,3250.5696365833282
3,3,3,303,388,312,329,274,391,6,4,6,6,3,3,relu,softmax,0.27671804605758743,0.26490527675597086,0.12343129120627386,0.38294891573813183,0.12981483368525804,0.35645024537120085,0.10009291957450178,0.004524521931746557,0.0021127112588245744,621,1331,True,2,2,2,0.7217000126838684,3259.617053747177
2,3,3,318,293,300,293,378,355,6,4,3,5,4,6,relu,softmax,0.33406807498536845,0.32676224535351617,0.34409080714054924,0.10134450799765865,0.2503698180035224,0.311450859255201,0.14662033862170465,0.004315076953464053,0.0016608371840259638,1328,1331,True,2,2,2,0.6866999864578247,3452.4119884967804
4,4,3,335,250,307,309,357,250,6,4,5,5,5,3,relu,softmax,0.34837361864471933,0.21484726238905116,0.276735620794071,0.31624489494247476,0.17236203238840692,0.15044232576842415,0.3916287979636933,0.00830723960702174,0.00186759785905164,1480,995,True,2,2,2,0.70169997215271,3543.842559337616
3,2,3,325,378,341,350,330,337,6,6,3,6,5,4,relu,softmax,0.21251220947206304,0.13207768073417345,0.24813966871472384,0.362199403483925,0.3661873005331989,0.10328977481693419,0.36588872342542,0.005328868284087177,0.001792121140769815,1021,568,True,2,2,2,0.7505999803543091,3560.524563550949
3,3,2,302,385,305,392,365,361,5,6,6,3,5,6,relu,softmax,0.33025200861860926,0.12137580559640951,0.37663613078836544,0.11529221073749842,0.24379758333145465,0.31691032925523877,0.21797393943761134,0.006583302479009701,0.0007844043042771916,564,586,True,2,2,2,0.6234999895095825,1949.4487586021423
